,Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,CG,Fi,Bi,Perd,TEAr1,TEAr2,TEAr,Peaje_Org,Periodo_Org,源文件
0,2024-01-01 00:00:00,1,6.2TD,P6,97.803,14.66,1.45,,,,0.238,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
0,2024-01-01 00:15:00,1,6.2TD,P6,97.803,14.66,1.45,,,,0.238,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
0,2024-01-01 00:30:00,1,6.2TD,P6,97.803,14.66,1.45,,,,0.238,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
0,2024-01-01 00:45:00,1,6.2TD,P6,97.803,14.66,1.45,,,,0.238,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
1,2024-01-01 01:00:00,2,6.2TD,P6,87.174,16.33,2.22,, ,,0.243,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
1,2024-01-01 01:15:00,2,6.2TD,P6,87.174,16.33,2.22,, ,,0.243,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
1,2024-01-01 01:30:00,2,6.2TD,P6,87.174,16.33,2.22,, ,,0.243,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
1,2024-01-01 01:45:00,2,6.2TD,P6,87.174,16.33,2.22,, ,,0.243,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
2,2024-01-01 02:00:00,3,6.2TD,P6,85.935,17.63,2.53,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
2,2024-01-01 02:15:00,3,6.2TD,P6,85.935,17.63,2.53,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
2,2024-01-01 02:30:00,3,6.2TD,P6,85.935,17.63,2.53,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
2,2024-01-01 02:45:00,3,6.2TD,P6,85.935,17.63,2.53,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
3,2024-01-01 03:00:00,4,6.2TD,P6,84.016,19.18,2.91,,,,0.268,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
3,2024-01-01 03:15:00,4,6.2TD,P6,84.016,19.18,2.91,,,,0.268,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
3,2024-01-01 03:30:00,4,6.2TD,P6,84.016,19.18,2.91,,,,0.268,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
3,2024-01-01 03:45:00,4,6.2TD,P6,84.016,19.18,2.91,,,,0.268,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
4,2024-01-01 04:00:00,5,6.2TD,P6,84.179,20.59,3.07,,,,0.276,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
4,2024-01-01 04:15:00,5,6.2TD,P6,84.179,20.59,3.07,,,,0.276,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
4,2024-01-01 04:30:00,5,6.2TD,P6,84.179,20.59,3.07,,,,0.276,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
4,2024-01-01 04:45:00,5,6.2TD,P6,84.179,20.59,3.07,,,,0.276,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
5,2024-01-01 05:00:00,6,6.2TD,P6,85.072,21.54,3.15,,,,0.278,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
5,2024-01-01 05:15:00,6,6.2TD,P6,85.072,21.54,3.15,,,,0.278,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
5,2024-01-01 05:30:00,6,6.2TD,P6,85.072,21.54,3.15,,,,0.278,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
5,2024-01-01 05:45:00,6,6.2TD,P6,85.072,21.54,3.15,,,,0.278,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
6,2024-01-01 06:00:00,7,6.2TD,P6,84.209,20.37,3.12,,,,0.273,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
6,2024-01-01 06:15:00,7,6.2TD,P6,84.209,20.37,3.12,,,,0.273,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
6,2024-01-01 06:30:00,7,6.2TD,P6,84.209,20.37,3.12,,,,0.273,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
6,2024-01-01 06:45:00,7,6.2TD,P6,84.209,20.37,3.12,,,,0.273,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
7,2024-01-01 07:00:00,8,6.2TD,P6,82.514,18.79,2.92,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
7,2024-01-01 07:15:00,8,6.2TD,P6,82.514,18.79,2.92,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
7,2024-01-01 07:30:00,8,6.2TD,P6,82.514,18.79,2.92,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
7,2024-01-01 07:45:00,8,6.2TD,P6,82.514,18.79,2.92,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
8,2024-01-01 08:00:00,9,6.2TD,P6,83.377,17.93,3.65,,,,0.254,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
8,2024-01-01 08:15:00,9,6.2TD,P6,83.377,17.93,3.65,,,,0.254,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
8,2024-01-01 08:30:00,9,6.2TD,P6,83.377,17.93,3.65,,,,0.254,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
8,2024-01-01 08:45:00,9,6.2TD,P6,83.377,17.93,3.65,,,,0.254,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
9,2024-01-01 09:00:00,10,6.2TD,P6,81.57,17.33,3.51,,,,0.232,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
9,2024-01-01 09:15:00,10,6.2TD,P6,81.57,17.33,3.51,,,,0.232,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
9,2024-01-01 09:30:00,10,6.2TD,P6,81.57,17.33,3.51,,,,0.232,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
9,2024-01-01 09:45:00,10,6.2TD,P6,81.57,17.33,3.51,,,,0.232,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
10,2024-01-01 10:00:00,11,6.2TD,P6,60.981,13.2,4.3,,,,0.208,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
10,2024-01-01 10:15:00,11,6.2TD,P6,60.981,13.2,4.3,,,,0.208,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
10,2024-01-01 10:30:00,11,6.2TD,P6,60.981,13.2,4.3,,,,0.208,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
10,2024-01-01 10:45:00,11,6.2TD,P6,60.981,13.2,4.3,,,,0.208,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
11,2024-01-01 11:00:00,12,6.2TD,P6,37.407,12.6,3.08,,,,0.199,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
11,2024-01-01 11:15:00,12,6.2TD,P6,37.407,12.6,3.08,,,,0.199,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
11,2024-01-01 11:30:00,12,6.2TD,P6,37.407,12.6,3.08,,,,0.199,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
11,2024-01-01 11:45:00,12,6.2TD,P6,37.407,12.6,3.08,,,,0.199,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
12,2024-01-01 12:00:00,13,6.2TD,P6,36.493,12.45,2.73,,,,0.196,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
12,2024-01-01 12:15:00,13,6.2TD,P6,36.493,12.45,2.73,,,,0.196,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
12,2024-01-01 12:30:00,13,6.2TD,P6,36.493,12.45,2.73,,,,0.196,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
12,2024-01-01 12:45:00,13,6.2TD,P6,36.493,12.45,2.73,,,,0.196,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
13,2024-01-01 13:00:00,14,6.2TD,P6,35.153,12.26,2.74,,,,0.194,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
13,2024-01-01 13:15:00,14,6.2TD,P6,35.153,12.26,2.74,,,,0.194,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
13,2024-01-01 13:30:00,14,6.2TD,P6,35.153,12.26,2.74,,,,0.194,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
13,2024-01-01 13:45:00,14,6.2TD,P6,35.153,12.26,2.74,,,,0.194,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
14,2024-01-01 14:00:00,15,6.2TD,P6,34.605,12.26,2.53,,,,0.197,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
14,2024-01-01 14:15:00,15,6.2TD,P6,34.605,12.26,2.53,,,,0.197,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
14,2024-01-01 14:30:00,15,6.2TD,P6,34.605,12.26,2.53,,,,0.197,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
14,2024-01-01 14:45:00,15,6.2TD,P6,34.605,12.26,2.53,,,,0.197,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
15,2024-01-01 15:00:00,16,6.2TD,P6,40.148,12.89,3.37,,,,0.209,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
15,2024-01-01 15:15:00,16,6.2TD,P6,40.148,12.89,3.37,,,,0.209,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
15,2024-01-01 15:30:00,16,6.2TD,P6,40.148,12.89,3.37,,,,0.209,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
15,2024-01-01 15:45:00,16,6.2TD,P6,40.148,12.89,3.37,,,,0.209,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
16,2024-01-01 16:00:00,17,6.2TD,P6,53.61,12.06,4.69,,,,0.222,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
16,2024-01-01 16:15:00,17,6.2TD,P6,53.61,12.06,4.69,,,,0.222,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
16,2024-01-01 16:30:00,17,6.2TD,P6,53.61,12.06,4.69,,,,0.222,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
16,2024-01-01 16:45:00,17,6.2TD,P6,53.61,12.06,4.69,,,,0.222,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
17,2024-01-01 17:00:00,18,6.2TD,P6,69.742,9.9,4.06,,,,0.231,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
17,2024-01-01 17:15:00,18,6.2TD,P6,69.742,9.9,4.06,,,,0.231,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
17,2024-01-01 17:30:00,18,6.2TD,P6,69.742,9.9,4.06,,,,0.231,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
17,2024-01-01 17:45:00,18,6.2TD,P6,69.742,9.9,4.06,,,,0.231,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
18,2024-01-01 18:00:00,19,6.2TD,P6,75.752,7.41,2.01,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
18,2024-01-01 18:15:00,19,6.2TD,P6,75.752,7.41,2.01,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
18,2024-01-01 18:30:00,19,6.2TD,P6,75.752,7.41,2.01,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
18,2024-01-01 18:45:00,19,6.2TD,P6,75.752,7.41,2.01,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
19,2024-01-01 19:00:00,20,6.2TD,P6,81.448,5.85,1.91,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
19,2024-01-01 19:15:00,20,6.2TD,P6,81.448,5.85,1.91,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
19,2024-01-01 19:30:00,20,6.2TD,P6,81.448,5.85,1.91,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
19,2024-01-01 19:45:00,20,6.2TD,P6,81.448,5.85,1.91,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
20,2024-01-01 20:00:00,21,6.2TD,P6,86.92,5.35,1.8,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
20,2024-01-01 20:15:00,21,6.2TD,P6,86.92,5.35,1.8,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
20,2024-01-01 20:30:00,21,6.2TD,P6,86.92,5.35,1.8,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
20,2024-01-01 20:45:00,21,6.2TD,P6,86.92,5.35,1.8,,,,0.235,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
21,2024-01-01 21:00:00,22,6.2TD,P6,87.011,5.36,1.83,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
21,2024-01-01 21:15:00,22,6.2TD,P6,87.011,5.36,1.83,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
21,2024-01-01 21:30:00,22,6.2TD,P6,87.011,5.36,1.83,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
21,2024-01-01 21:45:00,22,6.2TD,P6,87.011,5.36,1.83,,,,0.233,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
22,2024-01-01 22:00:00,23,6.2TD,P6,73.661,4.56,1.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
22,2024-01-01 22:15:00,23,6.2TD,P6,73.661,4.56,1.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
22,2024-01-01 22:30:00,23,6.2TD,P6,73.661,4.56,1.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
22,2024-01-01 22:45:00,23,6.2TD,P6,73.661,4.56,1.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
23,2024-01-01 23:00:00,24,6.2TD,P6,68.585,4.67,2.12,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
23,2024-01-01 23:15:00,24,6.2TD,P6,68.585,4.67,2.12,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
23,2024-01-01 23:30:00,24,6.2TD,P6,68.585,4.67,2.12,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
23,2024-01-01 23:45:00,24,6.2TD,P6,68.585,4.67,2.12,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240101
24,2024-01-02 00:00:00,1,6.2TD,P6,71.537,11.64,2.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
24,2024-01-02 00:15:00,1,6.2TD,P6,71.537,11.64,2.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
24,2024-01-02 00:30:00,1,6.2TD,P6,71.537,11.64,2.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
24,2024-01-02 00:45:00,1,6.2TD,P6,71.537,11.64,2.93,,,,0.24,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
25,2024-01-02 01:00:00,2,6.2TD,P6,59.304,13.88,3.59,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
25,2024-01-02 01:15:00,2,6.2TD,P6,59.304,13.88,3.59,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
25,2024-01-02 01:30:00,2,6.2TD,P6,59.304,13.88,3.59,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
25,2024-01-02 01:45:00,2,6.2TD,P6,59.304,13.88,3.59,,,,0.25,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
26,2024-01-02 02:00:00,3,6.2TD,P6,42.603,16.04,5.17,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
26,2024-01-02 02:15:00,3,6.2TD,P6,42.603,16.04,5.17,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
26,2024-01-02 02:30:00,3,6.2TD,P6,42.603,16.04,5.17,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
26,2024-01-02 02:45:00,3,6.2TD,P6,42.603,16.04,5.17,,,,0.257,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
27,2024-01-02 03:00:00,4,6.2TD,P6,52.035,15.81,5.1,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
27,2024-01-02 03:15:00,4,6.2TD,P6,52.035,15.81,5.1,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
27,2024-01-02 03:30:00,4,6.2TD,P6,52.035,15.81,5.1,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
27,2024-01-02 03:45:00,4,6.2TD,P6,52.035,15.81,5.1,,,,0.262,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
28,2024-01-02 04:00:00,5,6.2TD,P6,48.441,16.1,5.14,,,,0.263,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
28,2024-01-02 04:15:00,5,6.2TD,P6,48.441,16.1,5.14,,,,0.263,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
28,2024-01-02 04:30:00,5,6.2TD,P6,48.441,16.1,5.14,,,,0.263,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
28,2024-01-02 04:45:00,5,6.2TD,P6,48.441,16.1,5.14,,,,0.263,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
29,2024-01-02 05:00:00,6,6.2TD,P6,51.222,15.35,4.35,,,,0.258,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
29,2024-01-02 05:15:00,6,6.2TD,P6,51.222,15.35,4.35,,,,0.258,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
29,2024-01-02 05:30:00,6,6.2TD,P6,51.222,15.35,4.35,,,,0.258,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
29,2024-01-02 05:45:00,6,6.2TD,P6,51.222,15.35,4.35,,,,0.258,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
30,2024-01-02 06:00:00,7,6.2TD,P6,70.187,11.81,3.11,,,,0.239,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
30,2024-01-02 06:15:00,7,6.2TD,P6,70.187,11.81,3.11,,,,0.239,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
30,2024-01-02 06:30:00,7,6.2TD,P6,70.187,11.81,3.11,,,,0.239,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
30,2024-01-02 06:45:00,7,6.2TD,P6,70.187,11.81,3.11,,,,0.239,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
31,2024-01-02 07:00:00,8,6.2TD,P6,74.227,8.6,2.2,,,,0.219,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
31,2024-01-02 07:15:00,8,6.2TD,P6,74.227,8.6,2.2,,,,0.219,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
31,2024-01-02 07:30:00,8,6.2TD,P6,74.227,8.6,2.2,,,,0.219,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
31,2024-01-02 07:45:00,8,6.2TD,P6,74.227,8.6,2.2,,,,0.219,0.557,2.195,2.752,2.0TD,3,C2_pvpcdata_20240102
32,2024-01-02 08:00:00,9,6.2TD,P2,81.281,6.2,2.4,,,,0.205,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
32,2024-01-02 08:15:00,9,6.2TD,P2,81.281,6.2,2.4,,,,0.205,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
32,2024-01-02 08:30:00,9,6.2TD,P2,81.281,6.2,2.4,,,,0.205,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
32,2024-01-02 08:45:00,9,6.2TD,P2,81.281,6.2,2.4,,,,0.205,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
33,2024-01-02 09:00:00,10,6.2TD,P2,78.997,3.49,2.24,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
33,2024-01-02 09:15:00,10,6.2TD,P2,78.997,3.49,2.24,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
33,2024-01-02 09:30:00,10,6.2TD,P2,78.997,3.49,2.24,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
33,2024-01-02 09:45:00,10,6.2TD,P2,78.997,3.49,2.24,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
34,2024-01-02 10:00:00,11,6.2TD,P1,75.454,3.12,2.34,,,,0.187,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
34,2024-01-02 10:15:00,11,6.2TD,P1,75.454,3.12,2.34,,,,0.187,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
34,2024-01-02 10:30:00,11,6.2TD,P1,75.454,3.12,2.34,,,,0.187,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
34,2024-01-02 10:45:00,11,6.2TD,P1,75.454,3.12,2.34,,,,0.187,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
35,2024-01-02 11:00:00,12,6.2TD,P1,77.535,3.35,2.14,,,,0.185,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
35,2024-01-02 11:15:00,12,6.2TD,P1,77.535,3.35,2.14,,,,0.185,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
35,2024-01-02 11:30:00,12,6.2TD,P1,77.535,3.35,2.14,,,,0.185,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
35,2024-01-02 11:45:00,12,6.2TD,P1,77.535,3.35,2.14,,,,0.185,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
36,2024-01-02 12:00:00,13,6.2TD,P1,70.51,3.59,2.24,,,,0.182,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
36,2024-01-02 12:15:00,13,6.2TD,P1,70.51,3.59,2.24,,,,0.182,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
36,2024-01-02 12:30:00,13,6.2TD,P1,70.51,3.59,2.24,,,,0.182,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
36,2024-01-02 12:45:00,13,6.2TD,P1,70.51,3.59,2.24,,,,0.182,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
37,2024-01-02 13:00:00,14,6.2TD,P1,68.378,3.31,2.36,,,,0.18,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
37,2024-01-02 13:15:00,14,6.2TD,P1,68.378,3.31,2.36,,,,0.18,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
37,2024-01-02 13:30:00,14,6.2TD,P1,68.378,3.31,2.36,,,,0.18,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
37,2024-01-02 13:45:00,14,6.2TD,P1,68.378,3.31,2.36,,,,0.18,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
38,2024-01-02 14:00:00,15,6.2TD,P2,67.84,3.66,2.39,,,,0.181,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
38,2024-01-02 14:15:00,15,6.2TD,P2,67.84,3.66,2.39,,,,0.181,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
38,2024-01-02 14:30:00,15,6.2TD,P2,67.84,3.66,2.39,,,,0.181,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
38,2024-01-02 14:45:00,15,6.2TD,P2,67.84,3.66,2.39,,,,0.181,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
39,2024-01-02 15:00:00,16,6.2TD,P2,65.809,3.48,2.75,,,,0.188,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
39,2024-01-02 15:15:00,16,6.2TD,P2,65.809,3.48,2.75,,,,0.188,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
39,2024-01-02 15:30:00,16,6.2TD,P2,65.809,3.48,2.75,,,,0.188,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
39,2024-01-02 15:45:00,16,6.2TD,P2,65.809,3.48,2.75,,,,0.188,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
40,2024-01-02 16:00:00,17,6.2TD,P2,68.611,3.41,2.75,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
40,2024-01-02 16:15:00,17,6.2TD,P2,68.611,3.41,2.75,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
40,2024-01-02 16:30:00,17,6.2TD,P2,68.611,3.41,2.75,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
40,2024-01-02 16:45:00,17,6.2TD,P2,68.611,3.41,2.75,,,,0.195,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
41,2024-01-02 17:00:00,18,6.2TD,P2,78.946,6.12,2.13,,,,0.202,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
41,2024-01-02 17:15:00,18,6.2TD,P2,78.946,6.12,2.13,,,,0.202,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
41,2024-01-02 17:30:00,18,6.2TD,P2,78.946,6.12,2.13,,,,0.202,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
41,2024-01-02 17:45:00,18,6.2TD,P2,78.946,6.12,2.13,,,,0.202,19.184,8.779,27.963,2.0TD,2,C2_pvpcdata_20240102
42,2024-01-02 18:00:00,19,6.2TD,P1,83.86,5.62,1.06,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
42,2024-01-02 18:15:00,19,6.2TD,P1,83.86,5.62,1.06,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
42,2024-01-02 18:30:00,19,6.2TD,P1,83.86,5.62,1.06,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
42,2024-01-02 18:45:00,19,6.2TD,P1,83.86,5.62,1.06,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
43,2024-01-02 19:00:00,20,6.2TD,P1,88.225,5.38,0.69,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
43,2024-01-02 19:15:00,20,6.2TD,P1,88.225,5.38,0.69,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
43,2024-01-02 19:30:00,20,6.2TD,P1,88.225,5.38,0.69,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
43,2024-01-02 19:45:00,20,6.2TD,P1,88.225,5.38,0.69,,,,0.208,33.081,43.893,76.974,2.0TD,1,C2_pvpcdata_20240102
